set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
61,24,10.591,8.44,0.608,-0.7911,-1.40282,1.15851,0.447826,0.000124896,-1.05156,3.95583,2.54984,5.84716,4.99041,6.59465,-1.79131,9.60855e-08,4.47826,8.3258e-05,5.34637e-05,5.34637e-05,-1.29047,0.187464,-0.606574,0.686761,0.396237,0.207265,9.25895e-05,6.43237e-06,1.32953,2.02704,1.10333,2.83128e-05
62,24,10.591,8.45,0.609,-0.91204,-1.3248,1.04289,0.370395,0.00011159,-0.581077,2.03785,2.03785,-0.314255,6.75823,6.75823,-0.319576,8.79828e-05,3.70386,7.02364e-05,3.95665e-05,3.95665e-05,-1.15452,0.190397,-0.774257,0.642639,0.513637,0.234284,7.99298e-05,5.89956e-06,0.834655,2.47392,0.665116,1.55135e-05
63,24,10.591,8.48,0.611,-1.03708,-1.248,0.940647,0.304147,9.92241e-05,-0.799229,1.52316,1.52316,-0.480481,6.0221,0.00479352,-0.252745,1.88283,1.88283,5.30459e-05,2.41155e-05,2.41155e-05,-1.25554,0.157268,-0.604997,0.599567,0.478022,0.209997,6.1636e-05,3.82985e-06,1.11318,1.76851,0.718314,1.82065e-05
64,24,10.591,8.5,0.613,-1.1631,-1.17656,0.852094,0.248131,8.90351e-05,-1.14504,1.88417,1.88417,5.11256,5.4011,6.86e-07,-0.965676,0.0268488,2.19906,5.15925e-05,2.48131e-05,2.48131e-05,-1.44837,0.223572,-0.700223,0.605997,0.539364,0.255309,6.10751e-05,3.88413e-06,0.436915,1.86516,0.485017,5.5384e-06
65,24,10.591,8.51,0.613,-1.3282,-1.09557,0.753816,0.185257,7.82574e-05,-0.979062,2.0533,2.0533,-0.434344,4.93691,4.93691,-0.118486,0.00668596,1.28612,5.47868e-05,2.08539e-05,2.08539e-05,-1.17891,0.148869,-0.69054,0.340383,0.387401,0.168764,5.93149e-05,2.95691e-06,0.988748,1.96022,0.327391,1.0551e-05
66,12,5.55,1.51,0.359,-0.18,-2.51418,2.19029,1.35483,0.0540163,-2.06508,5.34837,2.65734,0.360809,15.8526,15.8526,-1.66876,7.95094e-07,13.5483,0.0526304,0.0233718,0.0233718,-3.45572,1.712,2.20308,6.294,1.29826,3.78231,0.0652146,0.0153146,0.825299,3.16816,2.5054,0.00669749
67,12,5.55,1.51,0.359,-0.237,-2.51343,2.04475,1.16849,0.0476649,-2.51677,1.44714,2.3112,12.2196,20.3986,0.0489039,-4.65759,0.0163621,2.49847,0.0496339,0.016729,0.0128529,-3.06768,0.277421,0.226175,3.69733,0.225891,0.78547,0.0567135,0.000325751,0.747287,2.40559,2.15509,0.0067986
68,12,5.55,1.52,0.361,-0.298,-2.4808,1.9045,0.994002,0.0413533,-5.1905,4.9207,1.43083,9.13808,13.2618,5.78316,1.4448,5.16397,4.77605,0.0423773,0.0442537,0.0442537,-3.97427,0.193069,0.941639,2.14458,0.775175,0.530314,0.0523514,0.00160951,1.01371,6.80482,1.42871,0.00530242
69,24,5.55,1.74,0.359,-0.183,-2.51484,2.18225,1.34422,0.0347431,-0.900102,6.82668,4.89925,13.0885,21.8175,0.00498788,-5.36414,0.0127304,8.62969,0.0271251,0.0434808,0.0434808,-2.97439,1.72144,2.25588,6.24558,1.42862,3.68861,0.0335787,0.0109747,1.40359,3.21619,3.35875,0.00806783
70,24,5.55,1.74,0.359,-0.242,-2.51216,2.03268,1.15156,0.0305208,-1.888,1.58543,1.58543,-3.36171,10.572,10.572,-4.49996,9.99275e-06,3.73526,0.0254651,0.0084263,0.0084263,-2.55548,0.174325,4.19703,4.1948,-0.727083,1.01582,0.0288553,5.14819e-05,0.743312,3.91453,1.85073,0.00478555
