set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
28,24,8.521,3.67,0.369,-0.33034,-2.43201,1.83592,0.914557,0.00278585,-1.68985,1.95614,1.95614,-1.75931,10.1354,10.1354,-0.047288,2.37234e-06,7.90762,0.0018693,0.000999248,0.000999248,-2.57712,0.268426,0.379167,1.74575,1.24802,0.54495,0.00241712,0.000144837,1.47978,3.37583,2.40566,0.000997345
29,24,8.521,3.68,0.37,-0.39252,-2.37858,1.71407,0.777723,0.00246876,-2.45167,5.97125,3.96952,-6.63715,0.21913,16.9216,0.16846,6.07738,6.07738,0.00155121,0.00258251,0.00258251,-2.51127,0.231145,-0.0774329,1.63211,1.15317,0.523038,0.00191146,0.000144309,1.07079,3.27992,1.60051,0.000509032
30,24,8.521,3.68,0.37,-0.48052,-2.29327,1.56134,0.614983,0.00213029,-2.20681,2.16214,2.16214,-1.77483,15.5678,0.0455181,0.208155,2.42286,2.42286,0.00149814,0.000714883,0.000714883,-2.50444,0.178986,-1.69233,0.784601,1.07617,0.214715,0.00176939,8.19734e-05,0.430421,2.60356,1.05058,0.000303738
31,24,10.591,4.53,0.369,-0.20942,-2.48367,2.1133,1.25206,0.00194791,-1.8383,3.37191,3.37191,1.87632,10.3295,10.8035,-0.673243,4.335,8.18561,0.00161696,0.0014387,0.0014387,-3.16019,0.473602,2.62276,3.73551,1.74569,1.04571,0.00215959,0.000191858,1.05931,2.23307,1.90498,0.000420704
32,24,10.591,4.55,0.37,-0.27194,-2.46313,1.96259,1.06372,0.00168195,-1.75066,2.77869,2.77869,-7.85033,3.10288e-05,19.6259,6.38231,10.6372,1.11168e-08,0.000953366,0.00091049,0.00091049,-2.98064,0.258698,0.998258,2.54979,1.13865,0.582781,0.00140594,8.07099e-05,0.549297,3.69454,1.96854,0.000182414
33,24,10.591,4.57,0.372,-0.33557,-2.41794,1.82518,0.9029,0.00146648,-1.44298,3.59966,2.41208,-1.70911,9.33493,9.33493,-3.58614,1.01046e-06,5.21884,0.000630562,0.000364614,0.0013202,-2.50198,0.241882,0.0972902,1.65899,1.09995,0.401929,0.00110954,4.41611e-05,0.969573,4.50407,1.71003,0.000315355
34,24,10.591,4.58,0.373,-0.39879,-2.36283,1.70246,0.766388,0.00130011,-1.15662,2.50582,2.75156,-0.830565,9.23549,9.23549,0.114675,5.37938,5.37938,0.00106908,0.000423475,0.000961561,-1.77486,0.263579,0.707222,1.84917,1.15546,0.565379,0.00128965,8.49676e-05,0.525733,3.84774,1.63472,0.000238892
35,24,10.591,4.57,0.371,-0.48338,-2.28708,1.55672,0.610921,0.0011334,-1.51303,2.42079,2.42079,5.46354,11.6904,3.87678,0.244616,4.32641,4.32641,0.000818149,0.000429214,0.000429214,-1.98977,0.228234,-0.322381,1.77062,0.741225,0.531269,0.000885246,3.74579e-05,0.848453,2.66372,1.24425,0.000139398
36,24,4.487,2.71,0.483,-0.34812,-2.0592,1.79978,0.896696,0.00580696,-2.36646,3.66916,3.66916,-5.30649,1.89264,16.1052,5.21418,8.80096,0.165997,0.00859633,0.00297045,0.00297045,-4.14854,0.399868,0.697937,2.51744,0.641192,0.790337,0.0106856,0.000587021,0.815378,3.43402,1.63037,0.00114075
37,24,4.487,2.71,0.483,-0.39062,-2.02744,1.71761,0.820943,0.00547465,-2.17935,4.26767,4.26767,-0.0626025,13.4753,13.4753,-0.885496,0.00211519,8.20732,0.00625406,0.00553463,0.00553463,-3.28873,0.291747,0.817852,2.04899,0.661511,0.638722,0.00769353,0.000440779,1.02501,3.56214,1.47378,0.00145171
38,24,4.487,2.71,0.484,-0.43499,-1.98937,1.63769,0.749088,0.00515787,-2.43943,5.19385,3.05058,-0.732376,5.81837,10.5585,-0.439004,2.55735,4.93353,0.00670964,0.00363874,0.00635125,-3.31284,0.284275,0.38929,1.72614,0.687117,0.565814,0.00781892,0.000317677,1.30396,3.16004,1.61253,0.00156058
39,24,4.487,2.71,0.485,-0.47967,-1.94963,1.56271,0.683255,0.00486922,-3.27944,7.00764,1.07893,-1.25428,0.000450518,15.6267,-0.271202,3.80879,3.80879,0.00663699,0.00847656,0.00847656,-3.6829,0.242935,-1.17895,0.783258,0.27394,0.274987,0.00727317,0.000177966,0.955983,2.606,1.15882,0.00106101
40,24,4.487,2.72,0.485,-0.53988,-1.89855,1.46956,0.602716,0.00447123,-2.91506,3.70034,3.48941,-5.61422,0.0104585,14.6851,-2.40392,5.17119,1.5382e-07,0.00454383,0.000679996,0.000679996,0,0,0,0,0,0,0,0,0.499566,1.56123,1.04538,0.000524642
41,24,8.851,4.5,0.497,-0.40977,-1.9724,1.68241,0.793247,0.00135068,-1.28352,2.45256,2.45256,1.56577,10.8717,10.8717,-1.34186,0.0186487,7.91383,0.00136282,0.000577719,0.000577719,-2.51495,0.243734,0.266658,1.26406,0.643724,0.459995,0.00162043,5.20445e-05,1.8064,3.26753,2.04523,0.000469122
42,24,8.851,4.53,0.501,-0.47956,-1.90507,1.56289,0.690902,0.00120604,-1.40953,2.33072,2.33072,-0.812025,8.96296,8.96296,-0.734983,8.15793e-05,3.84754,0.00105296,0.000530041,0.000530041,-2.43988,0.197686,0.190258,0.997733,0.476501,0.334453,0.00127008,6.35825e-05,0.757929,2.8697,1.06864,0.000172389
43,24,8.851,4.56,0.504,-0.54751,-1.8407,1.45835,0.604461,0.00108537,-1.8808,2.51779,2.51779,-4.25795,1.57544,13.008,3.60138,6.04461,3.44121e-07,0.000953155,0.000467667,0.000467667,-2.69991,0.0494357,-0.982921,0.364727,0.19079,0.100077,0.00112718,1.91864e-05,0.941612,2.24334,0.859228,0.000181301
44,24,8.851,4.57,0.506,-0.61382,-1.78026,1.36612,0.530299,0.000996785,-3.77633,3.2295,1.25854,-5.46449,3.56805e-07,13.6612,3.1818,1.66331,2.31954e-07,0.00125627,0.000235214,0.000525093,0,0,0,0,0,0,0,0,1.06205,2.20464,1.02749,0.000188883
