set,npts,k,QQ,xB,t,ReH_km15,ReE_km15,ReHt_km15,dvcs_km15,fit_ReH,efit_ReH_low,efit_ReH_high,fit_ReE,efit_ReE_low,efit_ReE_high,fit_ReHt,efit_ReHt_low,efit_ReHt_high,fit_dvcs,efit_dvcs_low,efit_dvcs_high,xmi_ReH,exmi_ReH,xmi_ReE,exmi_ReE,xmi_ReHt,exmi_ReHt,xmi_dvcs,exmi_dvcs,sys_ReH,sys_ReE,sys_ReHt,sys_dvcs
34,22,5.75,1.64,0.214,-0.26,-3.09818,1.9901,1.11443,0.0315163,0.52346,3.64395,4.40957,11.9406,19.901,1.18156e-06,-2.7336,1.72413,9.42018,0.0364814,0.0229707,0.0383742,0.834819,0.414309,1.64589,4.74733,1.61204,1.15216,0.0461004,0.0071705,1.10458,3.57756,1.32725,0.0101863
35,19,5.75,1.64,0.214,-0.34,-3.04939,1.81615,0.833069,0.0254465,0.525955,3.30192,4.82776,-6.99734,15.7938,15.7938,1.46715,0.104069,8.22662,0.0361507,0.0177043,0.030108,-0.446157,0.593402,2.54319,0.753149,1.12108,0.738743,0.0366485,1.7928e-05,1.0883,6.08696,2.16063,0.00589899
36,15,5.75,1.64,0.214,-0.45,-2.90962,1.61191,0.541817,0.0196856,3.26845,4.49867,6.14365,9.67145,16.1191,2.62701e-06,-2.16724,2.99509e-05,5.41814,0.0421133,0.0217199,0.0213207,5.04955,0.82449,1.1213,3.13719,1.92517,0.472858,0.0535178,0.00503062,0.555066,3.67785,1.05785,0.00362773
37,21,5.75,1.88,0.215,-0.11,-2.91236,2.39131,1.88057,0.0335806,0.739625,3.64105,7.43047,-8.23029,1.33497,22.5782,10.8047,18.327,0.478758,0.123555,0.0800118,0.0382527,2.81598,0.881561,2.53407,6.45513,1.43417,1.40687,0.0998829,0.0139424,0.903386,4.7148,3.41226,0.00881871
38,20,5.75,1.88,0.215,-0.15,-3.01297,2.27322,1.63335,0.028928,3.41004,4.59211,7.08161,-9.05177,0.041092,22.6911,9.80008,16.3335,1.63423e-06,0.123027,0.0722942,0.0388067,4.31502,0.529372,1.93731,5.99476,0.316696,1.24174,0.0909187,5.22496e-05,0.856593,3.09783,2.5895,0.00581594
39,18,5.75,1.88,0.215,-0.2,-3.07807,2.1375,1.37513,0.024427,7.7795,7.48181,4.53279,12.307,20.857,0.518,-5.41239,0.0881127,13.6631,0.081219,0.0488172,0.0488172,5.93641,0.409673,-1.43759,4.48532,1.73004,0.732746,0.102305,0.000113002,0.513053,3.99894,2.49526,0.00564433
40,18,5.75,1.88,0.215,-0.26,-3.09334,1.9901,1.11432,0.0203779,12.3733,6.88967,1.47411e-05,11.4155,19.3759,0.525077,-4.28535,0.171911,10.9712,0.12942,0.0366145,0.0465582,10.8823,0.36,4.51102,2.2184,3.13982,0.634834,0.136212,0.00347777,0.402835,3.96034,0.511915,0.00103171
41,18,5.75,1.88,0.215,-0.34,-3.04459,1.81615,0.834096,0.0164501,3.42388,8.19602,8.19602,10.8969,18.1177,0.0438591,-1.49537,2.9268e-05,8.34093,0.0494164,0.0464098,0.0464098,6.55356,1.85357,0.59297,2.87726,2.31633,0.940557,0.0679573,0.0107491,1.57438,3.71772,1.76602,0.00922367
42,19,5.75,1.88,0.215,-0.45,-2.90523,1.61191,0.542849,0.0127204,-8.38252,0.782455,6.37863,9.20419,15.6518,0.467266,3.2571,5.42849,7.66014e-08,0.000592149,4.83998e-05,0.00418297,3.45152,0.571901,1.07166,1.73727,1.15171,0.734554,0.0381932,0.00217065,2.26002,6.31227,0.626868,0.00952783
43,19,5.75,1.79,0.244,-0.11,-2.81618,2.39131,1.81901,0.0396694,-5.96064,1.40337,6.7078,10.3419,19.9072,4.00598,10.914,18.1901,8.87217e-07,0.0488824,0.048296,0.0202978,-3.17011,0.584152,8.01726,3.40328,3.23985,1.65562,0.0195111,0.00145632,1.74323,4.46973,5.02969,0.02129
44,24,5.75,1.79,0.244,-0.15,-2.89862,2.27322,1.59186,0.0345836,-1.68575,2.34622,5.84433,-4.82529,4.26757,18.4646,8.94441,15.3118,0.606736,0.0519154,0.0513933,0.0183192,-0.512333,0.385634,2.71925,5.64866,3.27245,1.01785,0.0380929,0.0027513,0.759606,2.59509,3.00831,0.00775996
45,23,5.75,1.79,0.244,-0.2,-2.95008,2.1375,1.35359,0.0295628,-0.68321,3.70759,3.80281,-8.55,4.19222e-06,21.375,4.91982,13.5254,0.010468,0.0252155,0.0386431,0.0082944,-0.956602,0.349332,2.40367,4.85583,2.43893,0.91165,0.0229895,0.00468684,0.220203,3.53608,1.11722,0.00767645
46,24,5.75,1.79,0.244,-0.26,-2.95859,1.9901,1.11121,0.0249814,0.433008,4.10592,2.59706,7.61102,15.5714,4.32958,1.52534,5.89853,5.89853,0.0189133,0.00793348,0.0325766,-0.592307,0.393014,0.942747,4.0262,2.01426,1.416,0.031519,0.00479914,0.240201,1.4546,1.72667,0.0046861
